num_tokens,time_stamp
5,1773747359633
1,1773747359635
1,1773747359638
2,1773747359687
2,1773747359687
3,1773747359688
3,1773747359688
1,1773747359688
3,1773747359688
5,1773747359688
1,1773747359689
1,1773747359690
1,1773747359690
5,1773747359690
1,1773747359690
3,1773747359690
1,1773747359745
1,1773747359745
1,1773747359745
2,1773747359747
3,1773747359747
5,1773747359748
1,1773747359748
2,1773747359748
1,1773747359749
1,1773747359749
1,1773747359749
3,1773747359750
3,1773747359750
1,1773747359750
4,1773747359804
4,1773747359804
2,1773747359804
3,1773747359804
2,1773747359805
2,1773747359805
1,1773747359806
1,1773747359806
3,1773747359806
5,1773747359807
1,1773747359807
1,1773747359807
2,1773747359807
2,1773747359859
3,1773747359859
1,1773747359860
4,1773747359861
9,1773747359861
3,1773747359862
2,1773747359862
2,1773747359862
1,1773747359862
2,1773747359862
2,1773747359863
1,1773747359873
1,1773747359914
2,1773747359915
1,1773747359915
8,1773747359916
4,1773747359916
1,1773747359916
1,1773747359917
1,1773747359918
2,1773747359919
1,1773747359919
1,1773747359920
1,1773747359920
1,1773747359971
8,1773747359971
1,1773747359972
1,1773747359972
12,1773747359972
1,1773747359972
2,1773747359973
1,1773747359973
2,1773747359974
1,1773747359974
2,1773747359975
1,1773747360027
2,1773747360029
2,1773747360029
3,1773747360029
4,1773747360029
2,1773747360029
1,1773747360029
2,1773747360030
2,1773747360030
2,1773747360030
1,1773747360030
2,1773747360031
1,1773747360056
4,1773747360077
1,1773747360078
1,1773747360079
1,1773747360079
1,1773747360079
1,1773747360079
1,1773747360080
2,1773747360080
1,1773747360080
5,1773747360080
1,1773747360081
1,1773747360081
1,1773747360082
1,1773747360082
4,1773747360136
1,1773747360137
2,1773747360138
3,1773747360138
1,1773747360138
5,1773747360139
1,1773747360139
2,1773747360139
2,1773747360139
1,1773747360139
1,1773747360139
1,1773747360140
1,1773747360140
2,1773747360140
3,1773747360194
3,1773747360194
5,1773747360195
1,1773747360195
4,1773747360195
1,1773747360195
1,1773747360195
1,1773747360196
1,1773747360196
3,1773747360200
2,1773747360200
2,1773747360220
1,1773747360223
1,1773747360225
2,1773747360225
1,1773747360229
2,1773747360252
3,1773747360253
2,1773747360253
1,1773747360254
2,1773747360266
1,1773747360266
1,1773747360267
2,1773747360268
3,1773747360268
1,1773747360269
1,1773747360310
1,1773747360313
1,1773747360313
1,1773747360314
1,1773747360316
1,1773747360316
3,1773747360316
7,1773747360316
1,1773747360318
1,1773747360318
1,1773747360362
1,1773747360369
2,1773747360370
4,1773747360371
1,1773747360372
8,1773747360372
1,1773747360372
2,1773747360373
1,1773747360373
1,1773747360373
5,1773747360374
5,1773747360374
1,1773747360375
3,1773747360431
3,1773747360432
3,1773747360432
3,1773747360433
2,1773747360434
6,1773747360434
2,1773747360434
1,1773747360434
1,1773747360435
1,1773747360435
4,1773747360435
1,1773747360436
1,1773747360437
1,1773747360437
1,1773747360492
1,1773747360492
3,1773747360494
5,1773747360494
5,1773747360495
2,1773747360495
2,1773747360496
4,1773747360496
1,1773747360496
1,1773747360498
1,1773747360498
2,1773747360499
1,1773747360548
3,1773747360553
4,1773747360554
1,1773747360555
2,1773747360555
1,1773747360556
4,1773747360556
2,1773747360556
5,1773747360556
3,1773747360556
2,1773747360557
1,1773747360557
2,1773747360558
1,1773747360559
1,1773747360581
1,1773747360612
2,1773747360613
2,1773747360614
2,1773747360614
8,1773747360615
3,1773747360615
1,1773747360615
4,1773747360616
2,1773747360616
2,1773747360616
4,1773747360616
2,1773747360616
1,1773747360617
2,1773747360679
5,1773747360680
1,1773747360681
2,1773747360681
7,1773747360681
3,1773747360681
6,1773747360681
2,1773747360682
2,1773747360682
1,1773747360682
2,1773747360683
1,1773747360683
1,1773747360683
2,1773747360684
2,1773747360737
1,1773747360741
1,1773747360742
8,1773747360742
1,1773747360742
1,1773747360742
1,1773747360743
4,1773747360743
3,1773747360743
1,1773747360743
1,1773747360743
1,1773747360744
2,1773747360746
2,1773747360746
2,1773747360798
3,1773747360801
5,1773747360802
3,1773747360802
3,1773747360802
1,1773747360804
3,1773747360804
1,1773747360804
3,1773747360804
1,1773747360805
2,1773747360807
1,1773747360807
1,1773747360809
1,1773747360865
4,1773747360866
1,1773747360866
4,1773747360866
1,1773747360866
2,1773747360866
6,1773747360867
4,1773747360867
2,1773747360867
1,1773747360868
3,1773747360869
