# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: dp-esb74
# Release : 4.18.0-348.23.1.el8_5.x86_64
# Version : #1 SMP Wed Apr 27 15:32:52 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 82.995429 
# Number of iterations (recorded+unrecorded): 1464490803 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
541007263.65	5567.69
542007217.58	5711.69
543007171.51	5619.69
544007102.44	5418.70
545007065.37	5706.69
546007017.30	5822.68
547006930.23	5005.72
548006863.17	5567.69
549006829.10	5444.70
550006772.03	5665.69
551006712.96	5709.69
552006666.89	5499.70
553006591.82	5786.68
554006527.75	5780.68
555006490.68	5325.71
556006443.61	5582.69
557006387.54	5790.68
558006313.48	6532.64
559006283.41	4960.73
560006226.34	5445.70
561006175.27	5823.68
562006105.20	5468.70
563006065.13	5678.69
564006001.06	5312.71
565005922.99	5691.69
566005888.92	5342.71
567005836.85	5464.70
568005786.79	5446.70
569005745.72	5825.68
570005672.65	5442.70
571005589.58	4543.75
572005552.51	5310.71
573005517.44	5632.69
574005453.37	5306.71
575005407.30	5420.70
576005367.23	5412.70
577005267.17	5621.69
578005222.10	5241.71
579005177.03	4844.73
580005105.96	5251.71
581005060.89	5605.69
582005008.82	5322.71
583004939.75	5438.70
584004896.68	5391.70
585004823.61	5606.69
586004788.54	5420.70
587004746.47	4969.73
588004679.41	5433.70
589004609.34	5705.69
590004547.27	5243.71
591004504.20	5432.70
592004461.13	5339.71
593004423.06	5475.70
594004361.99	5399.70
595004284.92	4804.74
596004230.85	5171.72
597004165.79	5708.69
598004127.72	5205.71
599004074.65	5578.69
600004029.58	5237.71
601003934.51	5798.68
602003903.44	5307.71
603003849.37	4721.74
604003801.30	5111.72
605003757.23	5627.69
606003701.16	5332.71
607003612.10	5040.72
608003555.03	5290.71
609003515.96	5717.69
610003456.89	5487.70
611003416.82	4631.74
612003370.75	5266.71
613003317.68	5656.69
614003244.61	5119.72
615003169.55	5266.71
616003141.47	5286.71
617003099.41	5793.68
618003029.34	5469.70
619002938.27	4921.73
620002906.20	5371.70
621002852.13	5751.68
622002804.06	5195.71
623002759.99	5346.71
624002690.92	5235.71
625002613.86	5758.68
626002579.79	6523.64
627002524.72	4913.73
628002461.65	5336.71
629002433.58	5542.69
630002367.51	5236.71
631002333.44	5300.71
632002234.37	5288.71
633002178.30	5731.68
634002130.23	5401.70
635002105.16	4869.73
636002054.09	5155.72
637001993.03	5602.69
638001898.96	5315.71
639001876.89	5332.71
640001804.82	5188.71
641001763.75	5708.69
642001731.68	5480.70
643001677.61	4916.73
644001577.55	5161.72
645001537.48	5733.68
646001484.41	5292.71
647001423.34	5470.70
648001396.27	5409.70
649001342.20	5587.69
650001253.13	5407.70
651001194.06	4567.75
652001137.99	5286.71
653001096.92	5750.68
654001053.85	5282.71
655000992.79	5420.70
656000908.72	5553.69
657000869.65	6118.66
658000834.58	5575.69
659000767.51	4891.73
660000739.44	5636.69
661000684.37	5951.67
662000570.30	5317.71
663000547.23	5391.70
664000480.17	5470.70
665000441.10	5824.68
666000378.03	5305.71
667000331.96	4707.74
668000255.89	5239.71
669000213.82	5565.69
670000167.75	5292.71
671000126.68	5362.70
672000057.61	5320.71
673000011.54	5401.70
673999920.48	5611.69
674999859.41	4690.74
675999832.34	5215.71
676999773.27	5879.68
677999724.20	5393.70
678999685.13	5358.70
679999580.06	5170.72
680999533.99	5713.69
681999490.92	5525.70
682999439.85	4773.74
683999399.79	5337.71
684999340.72	5742.68
685999248.65	5276.71
686999224.58	5187.71
687999163.51	5270.71
688999104.44	6715.63
689999060.37	5569.69
690999005.30	4866.73
691998916.24	5034.72
692998867.17	5637.69
693998838.10	5360.70
694998792.03	5154.72
695998708.96	6891.62
696998694.89	7551.58
697998627.82	7122.61
698998546.75	6224.66
699913570.36	2293.87
699998487.68	6329.65
700984739.37	1404.92
700998466.61	7119.61
701998416.54	6488.64
702998357.47	5642.69
703998303.41	6244.66
704090097.35	1026.94
704113309.07	1173.94
704998265.34	7420.59
705998182.27	6768.63
706998118.20	6169.66
707998083.13	5669.69
708998027.06	6365.65
709997972.99	6038.67
710997902.92	4956.73
711997830.86	5361.70
712997784.79	6188.66
713997754.72	6257.66
714997712.65	5404.70
715997598.58	5345.71
716997558.51	5721.68
717997508.44	5511.70
718997461.37	4704.74
719997425.30	5176.71
720997349.23	6014.67
721997280.17	5336.71
722997228.10	5287.71
723997191.03	5139.72
724997147.96	5643.69
725997072.89	5567.69
726997018.82	4688.74
727996981.75	5377.70
728996895.68	5573.69
729996852.61	5344.71
730996807.54	5022.72
731996747.48	5335.71
732996694.41	5623.69
733996651.34	5396.70
734996581.27	4816.73
735996513.20	5066.72
736996466.13	5788.68
737996433.06	5276.71
738996383.99	5239.71
739996312.92	5279.71
740996232.86	5484.70
741996178.79	5583.69
742996144.72	4732.74
743996097.65	5213.71
744996035.58	5544.69
745996000.51	5153.72
746995906.44	5127.72
747995857.37	5380.70
748995799.30	5748.68
749995774.23	5486.70
750995705.16	4770.74
751995662.09	6580.64
752995571.03	5462.70
753995517.96	5524.70
754995486.89	5144.72
755995423.82	5330.71
756995395.75	5676.69
757995320.68	5657.69
758995234.61	4719.74
759995178.55	4948.73
760995130.48	5591.69
761995095.41	5616.69
762995047.34	5266.71
763994996.27	5200.71
764000279.98	4799.74
764994921.20	5822.68
765994878.13	5551.69
766994831.06	4517.75
767994779.99	5082.72
768994732.92	5522.70
769994673.85	6024.67
770994637.78	4737.74
771994523.72	5286.71
772994485.65	5680.69
773994441.58	5459.70
774994399.51	4499.75
775994350.44	5205.71
776994303.37	5621.69
777994205.30	5938.67
778994168.23	4680.74
779994109.16	5401.70
780994044.10	5805.68
781993996.03	5115.72
782993902.96	4778.74
783993881.89	5454.70
784993812.82	5733.68
785993784.75	6013.67
786993740.68	4687.74
787993693.61	5323.71
788993584.55	5504.70
789993534.48	5573.69
790993483.41	4698.74
791993431.34	5319.71
792993386.27	5736.68
793993345.20	6067.67
794993300.13	4683.74
795993199.06	5240.71
796993159.99	5411.70
797993128.92	5393.70
798993076.85	4655.74
799992998.79	5128.72
800992959.72	5740.68
801992879.65	5805.68
802992816.58	4718.74
803992784.51	5228.71
804992720.44	5681.69
805992675.37	5337.71
806992633.30	5065.72
807992550.23	5326.71
808992511.16	5769.68
809992449.10	6140.66
810992401.03	4550.75
811992352.96	5353.71
812992319.89	5709.69
813992227.82	5488.70
814992169.75	6085.66
815992106.68	5244.71
816992080.61	5713.69
817992029.54	5820.68
818991977.47	4629.75
819991889.41	5212.71
820991839.34	5785.68
821991803.27	5435.70
822991742.20	4696.74
823991694.13	5053.72
824991659.06	5905.67
825991561.99	5683.69
826991491.92	4765.74
827991462.85	5250.71
828991410.79	5633.69
829991367.72	5387.70
830991314.65	4754.74
831991206.58	5057.72
832991173.51	5577.69
833991131.44	6044.67
834991069.37	4707.74
835991024.30	5292.71
836990992.23	5735.68
837990901.17	5431.70
838990834.10	4778.74
839990806.03	5025.72
840990753.96	5793.68
841990683.89	6103.66
842990658.82	4745.74
843990575.75	5348.71
844990498.68	5840.68
845990468.61	5352.71
846990417.54	4672.74
847990355.48	5060.72
848990317.41	5711.69
849990232.34	5933.67
850990184.27	4823.73
851990129.20	5337.71
852990079.13	5718.69
853990023.06	5436.70
854989995.99	4459.75
855989885.93	5222.71
856989861.85	5795.68
857989794.79	5954.67
858989743.72	4703.74
859989692.65	5264.71
860989644.58	5632.69
861989557.51	5083.72
862989531.44	4752.74
863989488.37	5106.72
864989439.30	5559.69
865989372.23	6037.67
866989341.16	4710.74
867989224.10	5382.70
868989189.03	5770.68
869989146.96	5325.71
870989108.89	4676.74
871989031.82	5181.71
872989009.75	5603.69
873988922.68	5977.67
874988846.61	4838.73
875988811.54	5389.70
876988769.47	5457.70
877988712.41	6445.65
878988663.34	4775.74
879988571.27	5121.72
880988537.20	5792.68
881988474.13	5734.68
882988429.06	4805.74
883988371.99	5098.72
884988350.92	5657.69
885988273.85	5514.70
886988193.79	4614.75
887988132.72	5077.72
888988099.65	5731.68
889988057.58	6102.66
890988006.51	4458.75
891987962.44	5348.71
892987853.37	5700.69
893987820.30	5385.70
894987784.23	4650.74
895987712.16	5073.72
896987680.09	5612.69
897987608.03	6088.66
898987533.96	4479.75
899987479.89	5298.71
900987445.82	5728.68
901987373.75	5372.70
902987341.68	4748.74
