# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: ip-0A020006
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 98.992110 
# Number of iterations (recorded+unrecorded): 1099459655 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
557955520.94	9500.24
558955499.25	5101.59
559955379.56	5200.59
560955258.87	5200.59
561955438.15	5100.59
562104234.29	1301.90
562955117.48	5200.59
563955096.78	5300.58
564955176.07	5500.56
565954953.39	5202.59
566954833.70	6401.49
567954713.01	5201.59
568954692.31	5201.59
569954671.61	5201.59
570954450.93	6601.47
571954530.22	5200.59
572104927.24	1200.90
572954209.55	5200.59
573954188.85	5200.59
574954268.14	6400.49
575954147.45	8700.31
576954026.76	5200.59
577953906.07	6400.49
578953885.38	5300.58
579953763.69	5901.53
580953743.99	5300.58
581953723.29	6400.49
582105619.18	1301.90
582953501.61	6301.50
583953580.90	6501.48
584953460.21	5201.59
585953339.52	21000.33
586953217.83	9702.23
587953198.13	5401.57
588953077.44	5400.57
589952956.75	6500.48
590952936.05	6500.48
591952915.35	9701.23
592106412.12	1200.90
592952694.67	5200.59
593952773.96	6600.47
594952653.27	6600.47
595952632.58	5700.55
596952411.89	5299.58
597952291.20	6500.48
598952370.50	6400.49
599952148.81	5301.58
600952128.12	5301.58
601952007.43	9601.23
602107005.07	1400.89
602951986.73	11501.08
603951866.04	5301.58
604951745.35	6601.47
605951624.66	5200.59
606951603.96	5300.58
607951583.26	6400.49
608951562.56	9801.22
609951441.87	7000.44
610951421.17	5200.59
611951200.49	6300.50
612107697.02	1500.88
612951279.78	6300.50
613951159.09	5200.59
614951138.39	5200.59
615950917.71	5200.59
616950897.01	5200.59
617950775.32	5201.59
618950654.63	6501.48
619950633.93	5201.59
620950513.24	5201.59
621950392.55	5900.53
622108589.95	1200.90
622950471.85	5200.59
623950351.16	5200.59
624950330.46	5600.55
625950209.77	5200.59
626950189.07	5200.59
627950068.38	5800.54
628949847.70	5300.58
629949926.99	5200.59
630949906.29	5200.59
631949685.61	5100.59
632109281.89	1200.90
632949664.91	5300.58
633949444.23	5200.59
634949421.53	5302.58
635949401.83	5301.58
636949281.14	5301.58
637949260.44	5301.58
638949039.76	5301.58
639949019.06	6501.48
640948998.36	5200.59
641948977.67	8901.29
642109874.84	1200.90
642948856.98	5200.59
643948636.29	5200.59
644948715.59	5199.59
645948494.90	6500.48
646948374.21	6500.48
647948452.51	8701.31
648948232.83	22700.19
649948312.12	8400.33
650948191.43	5200.59
651948169.73	8301.34
652110566.79	1200.90
652947949.05	6501.48
653947928.35	5201.59
654514917.16	18000.57
654947906.65	5602.55
655947786.96	5201.59
656850068.05	2200.82
656947666.27	5501.56
657947645.57	8301.34
658947424.89	6700.47
659947504.18	6500.48
660947383.49	5200.59
661947262.80	5100.59
662111159.74	1400.89
662947142.11	5200.59
663947021.42	5199.59
664947000.72	5199.59
665946880.03	5200.59
666946859.34	6400.49
667946838.64	5200.59
668946616.95	5301.58
669946696.25	5201.59
670946575.56	5201.59
671946554.86	5101.59
672111851.69	1200.90
672946334.18	8701.31
673946413.47	5201.59
674946191.79	5301.58
675946272.08	5200.59
676946251.38	5200.59
677946130.69	5200.59
678946110.00	5100.59
679945989.30	5200.59
680945768.62	5200.59
681945547.94	5200.59
682112544.63	1500.88
682945527.24	5200.59
683945506.54	5200.59
684945385.85	5299.58
685945264.16	5301.58
685950664.73	2900.77
686945243.46	5301.58
687945222.77	5201.59
688945102.08	5201.59
689945081.38	5201.59
690944960.69	5201.59
691944939.99	5100.59
692113236.58	1500.88
692944719.31	8401.33
693944798.60	5200.59
694944777.90	5499.56
695944656.21	5201.59
696944436.53	5200.59
697944215.85	5300.58
698944295.14	5300.58
699944274.44	9100.27
700944153.75	10300.18
701944433.03	13699.91
702114129.50	1300.90
702943912.37	14499.84
703943890.67	13500.92
704943969.97	12401.01
705943849.28	10801.14
706943828.58	12601.00
707943807.88	12601.00
708943587.20	9301.26
709943366.51	9901.21
710943345.82	22500.21
711943325.12	8400.33
712114820.45	1201.90
712943204.43	8100.35
713943183.73	5200.59
714942962.05	5600.55
715942941.35	5701.55
716942821.66	5200.59
717942900.95	9900.21
718942680.27	5300.58
719942659.57	5300.58
720942637.87	5301.58
721942517.18	5201.59
722115514.39	1300.90
722942496.48	5701.55
723942275.80	5301.58
724942155.11	5401.57
725942134.41	5501.56
726942013.72	5200.59
727941993.02	5300.58
728941872.33	5300.58
729941951.63	5200.59
730941830.94	5200.59
731941610.25	5200.59
732116206.34	1200.90
732941589.56	5200.59
733941468.86	5300.58
734941548.16	5200.59
735941327.48	5400.57
736941206.79	6000.52
737941185.09	5201.59
738941164.39	5701.55
739941043.70	5301.58
740941122.99	5501.56
741940802.32	9201.27
742116999.28	1200.90
742940781.62	8601.31
743940660.93	5799.54
744940740.22	5300.58
745940619.53	5300.58
746940498.84	5300.58
747940378.15	5300.58
748940257.46	8300.34
749940336.76	5300.58
