# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.500000 6.100000 35.901000 1.750000 0.100111 0.233556 -nan -nan -nan
89089 10 27.102000 104.505000 304.716000 1.750000 3.744000 8.866556 0.207077 0.000094 0.096038
90113 10 27.101000 104.605000 304.518000 1.750000 3.723111 8.800667 0.208443 0.000094 0.095711
91137 10 27.401000 105.807000 309.917000 1.750000 3.989667 8.923111 0.209647 0.000094 0.095345
92161 10 27.801000 106.806000 312.818000 1.750000 3.867556 8.978556 0.211415 0.000094 0.095199
93185 10 27.800000 107.705000 313.118000 1.750000 3.902000 9.068556 0.213006 0.000094 0.094990
94209 10 28.001000 108.206000 314.919000 1.750000 3.878778 9.123111 0.215819 0.000094 0.095477
95233 10 28.100000 109.006000 316.319000 1.750000 3.924333 9.201778 0.218856 0.000094 0.096141
96257 10 28.301000 109.606000 319.018000 1.750000 4.000889 9.211889 0.222787 0.000093 0.097604
97281 10 28.502000 110.106000 320.019000 1.750000 3.888778 9.366556 0.227778 0.000093 0.100243
98305 10 28.501000 111.007000 320.818000 1.750000 3.978667 8.989667 0.232423 0.000093 0.102412
99329 10 29.400000 116.406000 331.319000 1.750000 4.146556 9.379667 0.228828 0.000093 0.103484
100353 10 29.100000 116.907000 327.619000 1.750000 4.068778 9.446333 0.225538 0.000093 0.104295
101377 10 29.202000 117.906000 330.818000 1.750000 4.310889 9.777778 0.222332 0.000093 0.105043
102401 10 29.202000 119.307000 331.518000 1.750000 4.388667 9.755444 0.218129 0.000094 0.106709
103425 10 29.901000 119.607000 337.220000 1.750000 4.245556 9.867778 0.216797 0.000094 0.106395
104449 10 29.900000 121.006000 338.218000 1.750000 4.357556 9.890778 0.214403 0.000094 0.106590
105473 10 29.801000 121.107000 336.719000 1.750000 4.301000 10.045333 0.213499 0.000094 0.106170
106497 10 30.102000 121.607000 339.020000 1.750000 4.222222 9.966778 0.214004 0.000094 0.105686
107521 10 30.401000 122.807000 345.120000 1.750000 4.567778 10.445444 0.214410 0.000094 0.105198
108545 10 30.902000 124.406000 349.719000 1.750000 4.522111 10.633333 0.214324 0.000094 0.104697
109569 10 31.201000 124.907000 353.420000 1.750000 4.601111 10.634333 0.215566 0.000094 0.104409
110593 10 31.402000 125.708000 354.920000 1.750000 4.544444 10.822333 0.217273 0.000094 0.104316
111617 10 31.601000 126.907000 356.421000 1.750000 4.490111 10.712222 0.218634 0.000094 0.104086
112641 10 31.302000 128.007000 355.021000 1.750000 4.666778 10.489111 0.218890 0.000094 0.103617
113665 10 31.501000 129.606000 357.021000 1.750000 4.667889 10.923222 0.218096 0.000094 0.103233
114689 10 31.701000 128.708000 358.021000 1.750000 4.556778 10.934556 0.221091 0.000094 0.104037
115713 10 32.601000 133.807000 368.121000 1.750000 4.679000 11.434556 0.217620 0.000094 0.105274
116737 10 32.702000 134.906000 370.922000 1.750000 4.878000 11.544556 0.214044 0.000094 0.106608
117761 10 32.902000 135.207000 372.821000 1.750000 4.866778 11.644556 0.212043 0.000094 0.106705
118785 10 33.102000 136.907000 373.921000 1.750000 4.766778 11.811444 0.208948 0.000094 0.107595
119809 10 33.102000 137.308000 374.921000 1.750000 4.877889 11.789000 0.206834 0.000094 0.107765
120833 10 33.201000 138.507000 376.722000 1.750000 4.968000 11.879000 0.204380 0.000094 0.108164
121857 10 33.401000 139.208000 377.121000 1.750000 4.790111 11.923556 0.202686 0.000094 0.108117
122881 10 33.801000 139.907000 382.323000 1.750000 4.923667 12.056889 0.202076 0.000094 0.107716
123905 10 34.101000 140.807000 386.823000 1.750000 5.090333 12.112333 0.201965 0.000094 0.107268
124929 10 34.001000 140.007000 387.023000 1.750000 5.223667 11.923444 0.204619 0.000094 0.107866
125953 10 33.801000 140.608000 383.922000 1.750000 5.101333 12.068000 0.207282 0.000094 0.108474
126977 10 34.402000 141.509000 391.422000 1.750000 5.266889 12.167111 0.210820 0.000094 0.109886
128001 10 34.202000 142.008000 389.622000 1.750000 5.289111 12.155889 0.214504 0.000094 0.111441
129025 10 34.601000 143.108000 392.823000 1.750000 5.201444 12.279111 0.218323 0.000094 0.113127
130049 10 34.601000 143.707000 393.522000 1.750000 5.279111 12.301333 0.222443 0.000094 0.115137
