# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: queue1-dy-c5nmetal-1
# Release : 4.14.262-200.489.amzn2.x86_64
# Version : #1 SMP Fri Feb 4 20:34:30 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 71.994938 
# Number of iterations (recorded+unrecorded): 5114260034 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
2542594849.90	1521.89
2546594576.66	1541.89
2549778929.74	15925.88
2550594279.41	1807.87
2551918677.29	11940.16
2554594020.17	1912.87
2558593731.92	3073.78
2562593468.68	1522.89
2562958578.00	16064.87
2565097808.58	11893.16
2566593167.43	1694.88
2570592917.19	1531.89
2574139121.83	16030.87
2574592597.95	1766.88
2576282581.11	11924.16
2578592332.70	1626.89
2578618266.88	16068.87
2579726659.94	11990.16
2582592030.46	1706.88
2586591791.21	1521.89
2590591484.97	1531.89
2594591215.72	1538.89
2598590927.48	2352.83
2602590627.24	1546.89
2606590349.99	1534.89
2610590072.75	1525.89
2614589777.51	3159.78
2618589512.26	1548.89
2622589248.01	1529.89
2626588952.77	1526.89
2630588685.53	1527.89
2634588369.28	1537.89
2638588137.04	1536.89
2642587814.80	1551.89
2646587554.55	1544.89
2650587256.31	1547.89
2654586992.06	1533.89
2658586699.82	1534.89
2662586392.58	1537.89
2663351410.78	16048.87
2665491218.32	12179.14
2666586143.33	1701.88
2670585853.09	2776.80
2674532017.61	15913.88
2674585568.84	1772.88
2676672023.13	11932.16
2678585268.60	1714.88
2682585036.35	1538.89
2686584729.11	1540.89
2690584456.86	1544.89
2694584175.62	1533.89
2698583895.37	1542.89
2702583597.13	1535.89
2706583350.89	1543.89
2710583051.64	1531.89
2714582770.40	1541.89
2718582472.15	1539.89
2722582228.91	1526.89
2726581912.67	3532.75
2730581625.42	1565.89
2734581348.18	1541.89
2738581076.93	1547.89
2742580802.69	1538.89
2746580499.45	1517.89
2750580235.20	1549.89
2754579927.96	1526.89
2758579688.71	1690.88
2762579395.47	1521.89
2763745156.50	16070.87
2765876258.64	11897.16
2766579115.22	1718.88
2770578821.98	1529.89
2773914831.40	15919.88
2774578569.73	1745.88
2776055423.89	12084.15
2777096262.70	16030.87
2778578257.49	1710.88
2779236191.23	11987.16
2782578006.24	2828.80
2786577703.00	1524.89
2790577447.76	1537.89
2794577142.51	1531.89
2798576831.27	1543.89
2800274031.93	15964.88
2802414587.42	12149.15
2802576573.03	1723.88
2806576273.78	1591.89
2810576009.54	12828.10
2810598600.95	15927.88
2811856246.52	12162.14
2814575767.29	1847.87
2818575471.05	1519.89
2818594507.71	16079.87
2819654046.21	12139.15
2822575152.81	1612.89
2826574893.56	1526.89
2826623315.15	15941.88
2827680677.81	12173.14
2830574597.32	1646.88
2830622759.93	16004.87
2831682012.45	12258.14
2834574343.07	1674.88
2838574055.83	2796.80
2838617128.80	15917.88
2839676283.32	12192.14
2842573791.58	1588.89
2842621414.23	16160.86
2843679919.80	12194.14
2846573471.34	1605.89
2850573195.10	1526.89
2850615412.13	16068.87
2851674044.69	12053.15
2854572926.85	2673.81
2854620420.51	16042.87
2855678952.08	12175.14
2858572633.61	1644.88
2862572375.36	1513.89
2862618720.10	15999.87
2865600853.41	12184.14
2866572059.12	1636.88
2866619899.76	16012.87
2867679001.28	11988.16
2870571801.87	1599.89
2874571498.63	1514.89
2874640795.76	16056.87
2875839702.46	12093.15
2878571251.38	1648.88
